,mouse,condition,sex,composite avgScore,composite avgHCScore,composite avgTaskScore,net 1 avgScore,net 1 avgHCScore,net 1 avgTaskScore,net 2 avgScore,net 2 avgHCScore,net 2 avgTaskScore,net 3 avgScore,net 3 avgHCScore,net 3 avgTaskScore
0,Mouse0911,WT,F,39.352768,33.386723,46.330017,0.8943005,0.7942298,1.0113326,1.8221614,1.5262407,2.1682384,0.29212937,0.22051157,0.37588575
1,Mouse0912,CLOCK,F,14.5206995,17.736322,13.257187,-0.03776179,0.2105134,-0.13531575,0.87072605,0.93641335,0.8449152,0.5147043,0.08429455,0.68382394
2,Mouse0913,CLOCK,F,32.654972,21.971481,35.967533,0.2627727,-0.0587954,0.36247975,1.792918,1.3402866,1.9332622,0.25807026,0.2762687,0.2524275
3,Mouse0914,WT,F,47.044945,35.397854,50.405422,1.1528342,0.83236337,1.2452977,2.1407723,1.6371087,2.2860923,0.08137471,-0.07107066,0.12535895
4,Mouse2401,CLOCK,M,34.04525,36.026302,32.665325,0.6289334,0.66494685,0.60384804,1.6604785,1.7598842,1.5912365,0.2748359,0.23455636,0.30289248
5,Mouse2402,WT,M,26.212654,28.139685,25.664995,0.2181163,0.21398294,0.21929106,1.4351058,1.552343,1.4017872,0.20432171,0.22193375,0.19931607
6,Mouse2403,WT,M,34.59457,30.480984,35.749126,0.7922962,0.5940514,0.8479381,1.6052508,1.4755813,1.6416447,0.09527515,0.08174244,0.09907327
7,Mouse30391,WT,M,37.90746,32.98564,39.009377,0.90418726,0.72268903,0.94482106,1.7599052,1.5633656,1.8039079,-0.4046759,-0.22094513,-0.44580975
8,Mouse30392,WT,M,25.6713,17.331596,27.903992,0.8527068,0.56755555,0.9290467,1.0482975,0.715871,1.1372942,-0.22058214,-0.22610629,-0.21910317
9,Mouse3881,CLOCK,M,11.286118,10.816247,11.948894,0.18481438,0.13141409,0.260137,0.5439969,0.5484712,0.5376864,0.5605204,0.53088605,0.60231984
10,Mouse3882,CLOCK,M,33.746475,33.388824,33.967876,0.9832104,0.94035137,1.009742,1.4310119,1.4336185,1.4293982,0.35400748,0.37981844,0.33802956
11,Mouse3883,CLOCK,M,36.074154,31.535837,37.235744,1.0497757,0.9121791,1.0849936,1.5345184,1.3407477,1.5841144,0.28471014,0.34035224,0.27046853
12,Mouse69841,CLOCK,M,16.194609,13.406766,19.45698,0.50833845,0.4454521,0.5819292,0.68843335,0.5570628,0.84216475,-0.36363134,-0.3380148,-0.3936077
13,Mouse69861,WT,F,19.9646,12.150457,26.578245,0.6116648,0.4144664,0.7785671,0.8596383,0.508128,1.1571457,-0.49724406,-0.5272369,-0.4718588
14,Mouse69862,WT,F,30.689772,19.709711,38.2785,0.8874647,0.41932684,1.2110131,1.3312675,0.94575584,1.5977083,-0.27603507,-0.23034619,-0.3076124
15,Mouse69872,CLOCK,F,32.964542,28.024004,36.588463,0.7236558,0.47565192,0.9055689,1.5636619,1.4094214,1.6767981,-0.2700273,-0.18666115,-0.33117706
16,Mouse69873,CLOCK,F,23.855028,7.365389,38.822548,0.9330067,0.45563594,1.3663121,0.89089406,0.18746184,1.529394,-0.19056906,-0.3083249,-0.08368306
