,mean net 1 score,mean net 2 score,mean net 3 score,mean comp score,Yellow Day,Blue Day,mouse,expDate,Yellow Stim First
0,0.12105194391573176,0.1640097162124954,0.04706668746487463,3.9543493223438126,False,True,Mouse5371,051818,0.0
1,0.11152006283633867,0.17126085977869573,0.0552821051950323,3.987834992234828,True,False,Mouse5371,052418,0.0
2,0.08254451259804318,0.12989052229470077,0.042342381831956204,3.0048745472621397,True,False,Mouse5373,051818,1.0
3,0.0951420390278074,0.1504939873950561,0.045451531478735416,3.474046913414923,False,True,Mouse5373,052418,1.0
4,0.10627938816130655,0.15845589430624024,0.056978566480000575,3.7242262747103014,False,True,Mouse5391,051818,0.0
5,0.09640475490469924,0.15471035649718792,0.06278883633734907,3.5692598135930207,True,False,Mouse5391,052418,0.0
6,0.09362435874375807,0.18815478244211353,0.051177123318837815,4.091267571496677,True,False,Mouse5392,051818,1.0
7,0.08872736432773624,0.18270887659147217,0.05497520957385103,3.9552479996360477,False,True,Mouse5392,052418,1.0
8,0.10237738673902111,0.13703909889480334,0.05042309766818017,3.3241686447360506,True,False,Mouse5393,051818,1.0
9,0.10253961058993753,0.13650711794835116,0.04916437111951852,3.3159768569950145,False,True,Mouse5393,052418,1.0
10,0.11634648700662335,0.11659623767244044,0.042248470038138454,3.114218979727258,False,True,Mouse5394,051818,0.0
11,0.10057196170933502,0.07560440305052167,0.0342812334554333,2.27046570440906,True,False,Mouse5394,052418,0.0
12,0.09807904144192751,0.13636344583273785,0.04777843351705649,3.2688891588815028,False,True,Mouse5395,051818,0.0
13,0.09403945835091167,0.127319665375709,0.04433763981234932,3.0760408197393705,True,False,Mouse5395,052418,0.0
14,0.04583560602256141,0.16333352919474398,0.05959769190341437,3.2154264530430203,False,True,Mouse9511,032819,0.0
15,0.039713266256899464,0.13171221879783343,0.05488648558718363,2.624809063751164,True,False,Mouse9511,040419,0.0
16,0.07355270951559947,0.13455516364452927,0.05625584155489604,3.0046458724129073,True,False,Mouse9512,032819,1.0
17,0.0793844291189283,0.1524607589962654,0.05477277753749579,3.359244221353806,False,True,Mouse9512,040419,1.0
18,0.08746135616906958,0.16465490534402058,0.04463276861723239,3.6343397708064495,True,False,Mouse9513,032819,1.0
19,0.09436930519160311,0.19387424934092481,0.04296294461330034,4.18798591048033,False,True,Mouse9513,040419,1.0
20,0.07373920818640961,0.16194130941298077,0.06342361739784981,3.4682855684494625,False,True,Mouse9514,032819,0.0
21,0.07104902739911606,0.17234767739244292,0.07376759677872714,3.622932037491339,True,False,Mouse9514,040419,0.0
