region_pair,flx_sterr,epm_sterr,oft_sterr
"('Amy', 'Cg_Cx')",0.013622867778775336,0.024775785579099447,0.034836438559291937
"('Amy', 'Hipp')",0.010944999864557143,0.0221043852962194,0.03381783998084797
"('Amy', 'IL_Cx')",0.017434087546905754,0.01652741300339142,0.02468093753127902
"('Amy', 'Nac')",0.011984461202686118,0.01761583447899809,0.02685835629345404
"('Amy', 'PrL_Cx')",0.014031069256104175,0.03095751227432987,0.04349713203926343
"('Amy', 'Thal')",0.013430528849360635,0.018517833336830512,0.02184414895137088
"('Amy', 'VTA')",0.01863754044216219,0.01890158371514523,0.025221177078232376
"('Cg_Cx', 'Hipp')",0.0033063465225013798,0.020843197001529104,0.026545445091634316
"('Cg_Cx', 'IL_Cx')",0.023317296438884968,0.01864900645112796,0.033205043265314316
"('Cg_Cx', 'Nac')",0.020793658976953556,0.03181437537777968,0.047240756229751935
"('Cg_Cx', 'PrL_Cx')",0.0095816821108583,0.019441100338337153,0.04201621600927719
"('Cg_Cx', 'Thal')",0.013874893767266229,0.02627909633086368,0.03273384493351634
"('Cg_Cx', 'VTA')",0.006626768734363676,0.027461609957233252,0.032976942695951895
"('Hipp', 'IL_Cx')",0.00734961456900735,0.016960060304948284,0.02569224691234322
"('Hipp', 'Nac')",0.00925648471195519,0.016729523034242483,0.02014593695137582
"('Hipp', 'PrL_Cx')",0.009243831934909713,0.02114602472662615,0.03034525433043431
"('Hipp', 'Thal')",0.01574667801341046,0.023482095114696094,0.040143014413780466
"('Hipp', 'VTA')",0.01182921832909304,0.013771609312030642,0.01826197412616144
"('IL_Cx', 'Nac')",0.018176592221033062,0.030405189057139074,0.03560769026767097
"('IL_Cx', 'PrL_Cx')",0.029071739334625795,0.033583788754827884,0.04960361924768213
"('IL_Cx', 'Thal')",0.0143920939515149,0.01867509170813741,0.02892923978759324
"('IL_Cx', 'VTA')",0.008609961021554875,0.022276622116713836,0.030675365224391488
"('Nac', 'PrL_Cx')",0.008070564555379972,0.038651811091320515,0.045526729333378174
"('Nac', 'Thal')",0.015165519111830734,0.026732419573114074,0.04001119544305413
"('Nac', 'VTA')",0.02379798543620957,0.029350334461274767,0.04454596010117554
"('PrL_Cx', 'Thal')",0.011015993645875428,0.018801700687267414,0.02320029765771948
"('PrL_Cx', 'VTA')",0.01018649332537444,0.031386150683056814,0.03709717377405244
"('Thal', 'VTA')",0.016576109934424228,0.023451441272758982,0.04746732007254956
