,mouse,condition,avgScore,avgHCScore,avgTaskScore
0,Mouse0911,WT,0.12115037,0.10678233,0.13795364
1,Mouse0912,CLOCK,0.06801398,0.07013192,0.06718178
2,Mouse0913,CLOCK,0.08997523,0.06307083,0.09831734
3,Mouse0914,WT,0.13787536,0.09455934,0.1503731
4,Mouse2401,CLOCK,0.08540307,0.08411862,0.086297765
5,Mouse2402,WT,0.08048425,0.079427496,0.0807846
6,Mouse2403,WT,0.091716625,0.07963219,0.09510839
7,Mouse30391,WT,0.12597877,0.1118876,0.12913351
8,Mouse30392,WT,0.08667915,0.0636761,0.092837445
9,Mouse3881,CLOCK,0.05166349,0.04724335,0.057898216
10,Mouse3882,CLOCK,0.105721146,0.10048866,0.10896031
11,Mouse3883,CLOCK,0.0984795,0.08459538,0.102033176
12,Mouse69841,CLOCK,0.08876358,0.07697127,0.10256309
13,Mouse69861,WT,0.083536685,0.059350457,0.10400717
14,Mouse69862,WT,0.10024973,0.07216142,0.11966267
15,Mouse69872,CLOCK,0.09850284,0.07789634,0.11361789
16,Mouse69873,CLOCK,0.1018471,0.06472151,0.1355457
